60207;568542;小米(MI) Pro 15.6英寸金属轻薄笔记本电脑 i7-8550U/16G/256GSSD/2G独显;6996.00
76623;533866;神舟 战神 Z6-KP5GT 15.6英寸游戏本电脑 i5-7300HQ/8G/1T+128GSSD/GTX1050 2G独显;4499.00
196618;570084;戴尔 灵越燃7000 II 7472-1725 14.0英寸轻薄窄边框笔记本电脑 i7-8550U/8G/128GSSD+1T/MX150 2G独显;6199.00
64109;576836;ThinkPad 翼480（20KN001ACD） 14英寸笔记本电脑 i7-8550U/8G/128GSSD+1T/RX550 2G独显;6799.00
64102;576835;ThinkPad 翼480（20KN001BCD） 14英寸笔记本电脑 i7-8550U/8G/256GSSD+1T/RX550 2G独显;7388.00
25676;511472;联想ThinkPad E470c(20H3A000CD) 14英寸笔记本电脑 i5-6200U/4G/500G/GT920MX 2G独显;4499.00
98308;570087;戴尔 灵越燃7000 II 7472-1625 14.0英寸轻薄窄边框笔记本电脑 i5-8250U/8G/128GSSD+1T MX150 2G独显;5299.00
86237;579018;联想(ThinkPad) E470(20H1A0A2CD)14英寸笔记本电脑(i5-7200U 4G 500G Win10)黑色;4299.00
86236;579017;联想(ThinkPad) E470(20H1A0A5CD)14英寸笔记本电脑(i5-7200U 8G 256GSSD Win10)黑色;4999.00
86239;579016;联想(ThinkPad) E470(20H1A0A3CD)14英寸笔记本电脑(i5-7200U 8G 500G Win10)黑色;4599.00
86223;579014;联想(ThinkPad) E470(20H1A0A4CD)14英寸笔记本电脑(i5-7200U 4G 256GSSD Win10)黑色;4799.00
48236;554654;苹果(Apple) MacBook Pro MPXU2CH/A 13.3英寸笔记本电脑 I5处理器/8G/256GSSD/集显;6968.00
71820;554686;神舟 战神 Z8-KP7S2 15.6英寸游戏本电脑 i7-7700HQ/8G/1T+240GSSD/GTX1070 8G独显;8599.00
64109;576839;ThinkPad 翼480（20KN000UCD） 14英寸笔记本电脑 i5-8250U/8G/256GSSD/RX550 2G独显;5499.00
64110;576838;ThinkPad 翼480（20KN000VCD） 14英寸笔记本电脑 i5-8250U/8G/128GSSD+500G/RX550 2G独显;5799.00
64107;579275;ThinkPad 翼480 （20KN0012CD）14英寸轻薄窄边框笔记本电脑(i7-8550U 16G 256G PCIeSSD+1T 2G独显 背光键盘 FHD);8488.00
64102;576837;ThinkPad 翼480（20KNA004CD） 14英寸笔记本电脑 i5-8250U/8G/256GSSD/集显;4999.00
48550;554650;苹果(Apple) MacBook Pro MPXT2CH/A 13.3英寸笔记本电脑 i5处理器/8G/256GSSD/集显;10959.00
30522;520894;神舟 战神 Z7-KP7S1 15.6英寸游戏本电脑 i7-7700HQ/8G/1T+256GSSD/GTX1060 6G独显;6399.00
48217;554648;苹果(Apple) MacBook Pro MPXR2CH/A 13.3英寸笔记本电脑 I5处理器/8G/128GSSD/集显;9088.00
47822;554651;苹果(Apple) MacBook Pro MPXV2CH/A 13.3英寸笔记本电脑 i5处理器/8G/256GSSD/集显;13188.00
47823;555287;"苹果(Apple) MPXX2CH/A MacBook Pro 13.3""英寸笔记本电脑 i5处理器/8G/256GSSD/集显";12478.00
47807;555286;"苹果(Apple) MPXY2CH/A MacBook Pro 13.3""英寸笔记本电脑 i5处理器/8G/512GSSD/集显";14500.00
47804;555288;"苹果(Apple) MPXW2CH/A MacBook Pro 13.3""英寸笔记本电脑 i5处理器/8G/512GSSD/集显";13855.00
47481;555290;苹果(Apple) MPTT2CH/A MacBook Pro 15.4英寸笔记本电脑 i7处理器/16G/512GSSD/集显/Multi-Touch Bar;19999.00
47471;555289;苹果(Apple) MPTV2CH/A MacBook Pro 15.4英寸笔记本电脑 i7处理器/16G/512GSSD/集显/Multi-Touch Bar;19999.00
2163;524506;微星 GE62MVR 7RG-001CN 15.6英寸游戏笔记本电脑 i7-7700HQ/8G/1T+128GSSD/GTX1070 8G独显;9999.00
32197;531809;华硕 灵耀U4000UQ7200 14英寸笔记本电脑 i5-7200U/4G/256GSSD/GT940MX 2G独显;4261.00
160496;575769;联想 Ideapad320S 15.6英寸笔记本 i5-7200U/4G/1T/920MX 2G独显;3999.00
93987;573004;联想 Ideapad520-15 15.6英寸笔记本电脑 i5-8250U/4G/1T+128GSSD/MX150 2G独显;4899.00
357;573250;联想 拯救者Y720 15.6英寸游戏笔记本电脑 i5-7300HQ/8G/1T+128GSSD/GTX1060 6G独显;8999.00
56897;579227;"小米(MI)小米游戏本 15.6英寸轻薄笔记本电脑 i7 

7300 16G 1T+256G 1060 6G";8599.00
56878;579228;小米(MI)小米游戏本 15.6英寸轻薄笔记本电脑 i7 7700 8G 1T+128G 1060 6G;7996.00
100;578366;ThinkPad S2 2018(20L1A002CD)13.3英寸轻薄笔记本电脑(i5-8250U 8G 256GSSD 集显);6698.00
